Entrez_ID	Ensemble_ID_human	Gene_symbol_human
201725	ENSG00000205208	C4orf46
84077	ENSG00000131379	C3orf20
28970	ENSG00000182919	C11orf54
9710	ENSG00000166398	KIAA0355
392843	ENSG00000278685	IQCA1L
60686	ENSG00000100802	C14orf93
653319	ENSG00000196123	KIAA0895L
79864	ENSG00000109944	C11orf63
84162	ENSG00000138688	KIAA1109
56245	ENSG00000205929	C21orf62
201243	ENSG00000184560	C17orf74
388284	ENSG00000159761	C16orf86
9851	ENSG00000198920	KIAA0753
257169	ENSG00000157653	C9orf43
441476	ENSG00000197768	C9orf173
25912	ENSG00000143612	C1orf43
80183	ENSG00000102445	KIAA0226L
23313	ENSG00000100364	KIAA0930
57535	ENSG00000116299	KIAA1324
80231	ENSG00000120280	CXorf21
127703	ENSG00000142686	C1orf216
64149	ENSG00000108666	C17orf75
132720	ENSG00000174749	C4orf32
55765	ENSG00000163362	C1orf106
388135	ENSG00000205363	C15orf59
55322	ENSG00000082213	C5orf22
375057	ENSG00000203685	C1orf95
374920	ENSG00000185453	C19orf68
203197	ENSG00000157693	C9orf91
140873	ENSG00000125975	C20orf173
51161	ENSG00000088543	C3orf18
57604	ENSG00000250305	KIAA1456
140680	ENSG00000196476	C20orf96
147339	ENSG00000152242	C18orf25
80017	ENSG00000133943	C14orf159
57020	ENSG00000103544	C16orf62
135398	ENSG00000197261	C6orf141
79591	ENSG00000120029	C10orf76
85016	ENSG00000137691	C11orf70
9729	ENSG00000189367	KIAA0408
222223	ENSG00000164659	KIAA1324L
54991	ENSG00000131591	C1orf159
79568	ENSG00000162972	C2orf47
57608	ENSG00000165757	KIAA1462
56951	ENSG00000113583	C5orf15
23366	ENSG00000164542	KIAA0895
541565	ENSG00000241852	C8orf58
158358	ENSG00000183354	KIAA2026
23325	ENSG00000136051	KIAA1033
55337	ENSG00000130813	C19orf66
2	ENSG00000175899	A2M
642597	ENSG00000231824	C18orf42
127550	ENSG00000184389	A3GALT2
339448	ENSG00000198912	C1orf174
388115	ENSG00000188549	C15orf52
53947	ENSG00000128274	A4GALT
51146	ENSG00000118017	A4GNT
400258	ENSG00000184601	C14orf180
100127206	ENSG00000186367	KIAA1024L
116328	ENSG00000165084	C8orf34
256643	ENSG00000173681	CXorf23
146325	ENSG00000161992	PRR35
448831	ENSG00000205097	FRG2
84419	ENSG00000166920	C15orf48
79098	ENSG00000182795	C1orf116
255809	ENSG00000214212	C19orf38
23251	ENSG00000169330	KIAA1024
23392	ENSG00000136813	KIAA0368
91749	ENSG00000173214	KIAA1919
157773	ENSG00000164743	C8orf48
57462	ENSG00000164976	KIAA1161
283897	ENSG00000185905	C16orf54
158401	ENSG00000165181	C9orf84
399947	ENSG00000185742	C11orf87
79074	ENSG00000135974	C2orf49
647024	ENSG00000188112	C6orf132
83638	ENSG00000175573	C11orf68
144097	ENSG00000168005	C11orf84
55216	ENSG00000150776	C11orf57
79932	ENSG00000142687	KIAA0319L
79020	ENSG00000136197	C7orf25
285636	ENSG00000205765	C5orf51
57536	ENSG00000150477	KIAA1328
8086	ENSG00000094914	AAAS
65985	ENSG00000081760	AACS
51166	ENSG00000109576	AADAT
195827	ENSG00000158122	AAED1
79719	ENSG00000103591	AAGAB
22848	ENSG00000115977	AAK1
28971	ENSG00000087884	AAMDC
14	ENSG00000127837	AAMP
15	ENSG00000129673	AANAT
25980	ENSG00000131043	AAR2
441376	ENSG00000205002	AARD
16	ENSG00000090861	AARS
57505	ENSG00000124608	AARS2
132949	ENSG00000157426	AASDH
60496	ENSG00000149313	AASDHPPT
10157	ENSG00000008311	AASS
26574	ENSG00000275700	AATF
9625	ENSG00000181409	AATK
18	ENSG00000183044	ABAT
19	ENSG00000165029	ABCA1
26154	ENSG00000144452	ABCA12
154664	ENSG00000179869	ABCA13
20	ENSG00000107331	ABCA2
21	ENSG00000167972	ABCA3
24	ENSG00000198691	ABCA4
23461	ENSG00000154265	ABCA5
23460	ENSG00000154262	ABCA6
10347	ENSG00000064687	ABCA7
10351	ENSG00000141338	ABCA8
10350	ENSG00000154258	ABCA9
8647	ENSG00000073734	ABCB11
5243	ENSG00000085563	ABCB1
5244	ENSG00000005471	ABCB4
22	ENSG00000131269	ABCB7
11194	ENSG00000197150	ABCB8
23457	ENSG00000150967	ABCB9
4363	ENSG00000103222	ABCC1
89845	ENSG00000124574	ABCC10
94160	ENSG00000140798	ABCC12
1244	ENSG00000023839	ABCC2
10257	ENSG00000125257	ABCC4
10057	ENSG00000114770	ABCC5
368	ENSG00000091262	ABCC6
6833	ENSG00000006071	ABCC8
10060	ENSG00000069431	ABCC9
215	ENSG00000101986	ABCD1
225	ENSG00000173208	ABCD2
5825	ENSG00000117528	ABCD3
5826	ENSG00000119688	ABCD4
6059	ENSG00000164163	ABCE1
23	ENSG00000204574	ABCF1
10061	ENSG00000033050	ABCF2
55324	ENSG00000161204	ABCF3
9619	ENSG00000160179	ABCG1
9429	ENSG00000118777	ABCG2
64137	ENSG00000172350	ABCG4
64240	ENSG00000138075	ABCG5
55347	ENSG00000144827	ABHD10
83451	ENSG00000106077	ABHD11
26090	ENSG00000100997	ABHD12
145447	ENSG00000131969	ABHD12B
84945	ENSG00000139826	ABHD13
25864	ENSG00000248487	ABHD14A
84836	ENSG00000114779	ABHD14B
116236	ENSG00000168792	ABHD15
7920	ENSG00000204427	ABHD16A
140701	ENSG00000183260	ABHD16B
81926	ENSG00000129968	ABHD17A
51104	ENSG00000107362	ABHD17B
58489	ENSG00000136379	ABHD17C
11057	ENSG00000140526	ABHD2
171586	ENSG00000158201	ABHD3
63874	ENSG00000100439	ABHD4
51099	ENSG00000011198	ABHD5
57406	ENSG00000163686	ABHD6
79575	ENSG00000127220	ABHD8
10006	ENSG00000136754	ABI1
10152	ENSG00000138443	ABI2
51225	ENSG00000108798	ABI3
25890	ENSG00000154175	ABI3BP
25	ENSG00000097007	ABL1
27	ENSG00000143322	ABL2
3983	ENSG00000099204	ABLIM1
84448	ENSG00000163995	ABLIM2
22885	ENSG00000173210	ABLIM3
29	ENSG00000159842	ABR
137735	ENSG00000174429	ABRA
58527	ENSG00000146386	ABRACL
29777	ENSG00000146109	ABT1
80325	ENSG00000114626	ABTB1
25841	ENSG00000166016	ABTB2
30	ENSG00000060971	ACAA1
10449	ENSG00000167315	ACAA2
31	ENSG00000278540	ACACA
32	ENSG00000076555	ACACB
80724	ENSG00000111271	ACAD10
27034	ENSG00000151498	ACAD8
28976	ENSG00000177646	ACAD9
33	ENSG00000115361	ACADL
34	ENSG00000117054	ACADM
35	ENSG00000122971	ACADS
36	ENSG00000196177	ACADSB
37	ENSG00000072778	ACADVL
176	ENSG00000157766	ACAN
9744	ENSG00000072818	ACAP1
23527	ENSG00000114331	ACAP2
116983	ENSG00000131584	ACAP3
38	ENSG00000075239	ACAT1
39	ENSG00000120437	ACAT2
64746	ENSG00000182827	ACBD3
79777	ENSG00000181513	ACBD4
91452	ENSG00000107897	ACBD5
84320	ENSG00000230124	ACBD6
414149	ENSG00000176244	ACBD7
84680	ENSG00000110455	ACCS
390110	ENSG00000205126	ACCSL
65057	ENSG00000102977	ACD
1636	ENSG00000159640	ACE
59272	ENSG00000130234	ACE2
340485	ENSG00000177076	ACER2
55331	ENSG00000078124	ACER3
43	ENSG00000087085	ACHE
22985	ENSG00000100813	ACIN1
1238	ENSG00000144648	ACKR2
57007	ENSG00000144476	ACKR3
51554	ENSG00000129048	ACKR4
47	ENSG00000131473	ACLY
130013	ENSG00000153086	ACMSD
48	ENSG00000122729	ACO1
50	ENSG00000100412	ACO2
641371	ENSG00000184227	ACOT1
26027	ENSG00000162390	ACOT11
134526	ENSG00000172497	ACOT12
55856	ENSG00000112304	ACOT13
10965	ENSG00000119673	ACOT2
122970	ENSG00000177465	ACOT4
641372	ENSG00000205669	ACOT6
11332	ENSG00000097021	ACOT7
10005	ENSG00000101473	ACOT8
23597	ENSG00000123130	ACOT9
51	ENSG00000161533	ACOX1
8309	ENSG00000168306	ACOX2
8310	ENSG00000087008	ACOX3
55289	ENSG00000153093	ACOXL
52	ENSG00000143727	ACP1
53	ENSG00000134575	ACP2
54	ENSG00000102575	ACP5
51205	ENSG00000162836	ACP6
55	ENSG00000014257	ACPP
93650	ENSG00000142513	ACPT
49	ENSG00000100312	ACR
23205	ENSG00000103740	ACSBG1
80221	ENSG00000167107	ACSF2
2180	ENSG00000151726	ACSL1
2182	ENSG00000068366	ACSL4
51703	ENSG00000197142	ACSL5
23305	ENSG00000164398	ACSL6
6296	ENSG00000005187	ACSM3
54988	ENSG00000183549	ACSM5
84532	ENSG00000154930	ACSS1
55902	ENSG00000131069	ACSS2
79611	ENSG00000111058	ACSS3
59	ENSG00000107796	ACTA2
60	ENSG00000075624	ACTB
70	ENSG00000159251	ACTC1
71	ENSG00000184009	ACTG1
72	ENSG00000163017	ACTG2
170487	ENSG00000182584	ACTL10
86	ENSG00000136518	ACTL6A
51412	ENSG00000077080	ACTL6B
10881	ENSG00000187003	ACTL7A
284382	ENSG00000181786	ACTL9
87	ENSG00000072110	ACTN1
88	ENSG00000077522	ACTN2
89	ENSG00000248746	ACTN3
81	ENSG00000130402	ACTN4
55860	ENSG00000131966	ACTR10
10121	ENSG00000138107	ACTR1A
10120	ENSG00000115073	ACTR1B
10097	ENSG00000138071	ACTR2
10096	ENSG00000115091	ACTR3
57180	ENSG00000133627	ACTR3B
79913	ENSG00000101442	ACTR5
64431	ENSG00000075089	ACTR6
93973	ENSG00000113812	ACTR8
84517	ENSG00000184378	ACTRT3
90	ENSG00000115170	ACVR1
91	ENSG00000135503	ACVR1B
130399	ENSG00000123612	ACVR1C
92	ENSG00000121989	ACVR2A
93	ENSG00000114739	ACVR2B
94	ENSG00000139567	ACVRL1
95	ENSG00000243989	ACY1
91703	ENSG00000132744	ACY3
97	ENSG00000119640	ACYP1
98	ENSG00000170634	ACYP2
100	ENSG00000196839	ADA
161931	ENSG00000140955	ADAD2
161823	ENSG00000168803	ADAL
102	ENSG00000137845	ADAM10
4185	ENSG00000073670	ADAM11
8038	ENSG00000148848	ADAM12
8751	ENSG00000143537	ADAM15
6868	ENSG00000151694	ADAM17
8728	ENSG00000135074	ADAM19
8747	ENSG00000139985	ADAM21
53616	ENSG00000008277	ADAM22
8745	ENSG00000114948	ADAM23
10863	ENSG00000042980	ADAM28
203102	ENSG00000197140	ADAM32
80332	ENSG00000149451	ADAM33
8756	ENSG00000069206	ADAM7
101	ENSG00000151651	ADAM8
8754	ENSG00000168615	ADAM9
27299	ENSG00000134028	ADAMDEC1
9510	ENSG00000154734	ADAMTS1
81794	ENSG00000142303	ADAMTS10
81792	ENSG00000151388	ADAMTS12
11093	ENSG00000160323	ADAMTS13
140766	ENSG00000138316	ADAMTS14
170689	ENSG00000166106	ADAMTS15
170690	ENSG00000145536	ADAMTS16
170691	ENSG00000140470	ADAMTS17
170692	ENSG00000140873	ADAMTS18
171019	ENSG00000145808	ADAMTS19
9509	ENSG00000087116	ADAMTS2
80070	ENSG00000173157	ADAMTS20
9508	ENSG00000156140	ADAMTS3
9507	ENSG00000158859	ADAMTS4
11096	ENSG00000154736	ADAMTS5
11174	ENSG00000049192	ADAMTS6
11173	ENSG00000136378	ADAMTS7
11095	ENSG00000134917	ADAMTS8
56999	ENSG00000163638	ADAMTS9
92949	ENSG00000178031	ADAMTSL1
9719	ENSG00000197859	ADAMTSL2
57188	ENSG00000156218	ADAMTSL3
54507	ENSG00000143382	ADAMTSL4
339366	ENSG00000185761	ADAMTSL5
11033	ENSG00000105963	ADAP1
55803	ENSG00000184060	ADAP2
103	ENSG00000160710	ADAR
104	ENSG00000197381	ADARB1
105	ENSG00000185736	ADARB2
23536	ENSG00000065457	ADAT1
134637	ENSG00000189007	ADAT2
57143	ENSG00000063761	ADCK1
56997	ENSG00000163050	ADCK3
203054	ENSG00000173137	ADCK5
107	ENSG00000164742	ADCY1
55811	ENSG00000143199	ADCY10
108	ENSG00000078295	ADCY2
109	ENSG00000138031	ADCY3
196883	ENSG00000129467	ADCY4
111	ENSG00000173175	ADCY5
112	ENSG00000174233	ADCY6
113	ENSG00000121281	ADCY7
114	ENSG00000155897	ADCY8
115	ENSG00000162104	ADCY9
116	ENSG00000141433	ADCYAP1
117	ENSG00000078549	ADCYAP1R1
118	ENSG00000087274	ADD1
119	ENSG00000075340	ADD2
120	ENSG00000148700	ADD3
79747	ENSG00000118492	ADGB
128	ENSG00000197894	ADH5
131	ENSG00000196344	ADH7
137872	ENSG00000147576	ADHFE1
55256	ENSG00000182551	ADI1
149685	ENSG00000182035	ADIG
51094	ENSG00000159346	ADIPOR1
79602	ENSG00000006831	ADIPOR2
132	ENSG00000156110	ADK
133	ENSG00000148926	ADM
79924	ENSG00000128165	ADM2
22850	ENSG00000101544	ADNP2
84890	ENSG00000181915	ADO
134	ENSG00000163485	ADORA1
135	ENSG00000128271	ADORA2A
136	ENSG00000170425	ADORA2B
140	ENSG00000282608	ADORA3
83440	ENSG00000159322	ADPGK
141	ENSG00000144843	ADPRH
113622	ENSG00000153531	ADPRHL1
54936	ENSG00000116863	ADPRHL2
56985	ENSG00000170222	ADPRM
148	ENSG00000120907	ADRA1A
147	ENSG00000170214	ADRA1B
146	ENSG00000171873	ADRA1D
150	ENSG00000150594	ADRA2A
151	ENSG00000274286	ADRA2B
152	ENSG00000184160	ADRA2C
153	ENSG00000043591	ADRB1
154	ENSG00000169252	ADRB2
155	ENSG00000188778	ADRB3
156	ENSG00000173020	ADRBK1
157	ENSG00000100077	ADRBK2
11047	ENSG00000130706	ADRM1
158	ENSG00000239900	ADSL
159	ENSG00000035687	ADSS
122622	ENSG00000185100	ADSSL1
84830	ENSG00000111863	ADTRP
165	ENSG00000106624	AEBP1
121536	ENSG00000139154	AEBP2
64782	ENSG00000181026	AEN
60312	ENSG00000196526	AFAP1
134265	ENSG00000157510	AFAP1L1
84632	ENSG00000169129	AFAP1L2
4299	ENSG00000172493	AFF1
2334	ENSG00000155966	AFF2
3899	ENSG00000144218	AFF3
27125	ENSG00000072364	AFF4
10939	ENSG00000141385	AFG3L2
174	ENSG00000081051	AFP
54812	ENSG00000119844	AFTPH
175	ENSG00000038002	AGA
116987	ENSG00000157985	AGAP1
116986	ENSG00000135439	AGAP2
116988	ENSG00000133612	AGAP3
123624	ENSG00000166748	AGBL1
79841	ENSG00000165923	AGBL2
340351	ENSG00000146856	AGBL3
84871	ENSG00000186094	AGBL4
60509	ENSG00000084693	AGBL5
177	ENSG00000204305	AGER
3267	ENSG00000173744	AGFG1
3268	ENSG00000106351	AGFG2
55109	ENSG00000164252	AGGF1
55750	ENSG00000006530	AGK
178	ENSG00000162688	AGL
79814	ENSG00000116771	AGMAT
392636	ENSG00000187546	AGMO
26523	ENSG00000092847	AGO1
27161	ENSG00000123908	AGO2
192669	ENSG00000126070	AGO3
192670	ENSG00000134698	AGO4
10554	ENSG00000204310	AGPAT1
10555	ENSG00000169692	AGPAT2
56894	ENSG00000160216	AGPAT3
56895	ENSG00000026652	AGPAT4
55326	ENSG00000155189	AGPAT5
84803	ENSG00000138678	GPAT3
8540	ENSG00000018510	AGPS
375790	ENSG00000188157	AGRN
181	ENSG00000159723	AGRP
183	ENSG00000135744	AGT
23287	ENSG00000135049	AGTPBP1
185	ENSG00000144891	AGTR1
186	ENSG00000180772	AGTR2
57085	ENSG00000177674	AGTRAP
10768	ENSG00000168710	AHCYL1
23382	ENSG00000158467	AHCYL2
27245	ENSG00000126705	AHDC1
54806	ENSG00000135541	AHI1
79026	ENSG00000124942	AHNAK
113146	ENSG00000185567	AHNAK2
196	ENSG00000106546	AHR
57491	ENSG00000063438	AHRR
10598	ENSG00000100591	AHSA1
130872	ENSG00000173209	AHSA2
57379	ENSG00000111732	AICDA
64853	ENSG00000186063	AIDA
199	ENSG00000204472	AIF1
83543	ENSG00000126878	AIF1L
9131	ENSG00000156709	AIFM1
84883	ENSG00000042286	AIFM2
150209	ENSG00000183773	AIFM3
51390	ENSG00000146416	AIG1
202	ENSG00000112297	AIM1
55057	ENSG00000176092	AIM1L
9447	ENSG00000163568	AIM2
9255	ENSG00000164022	AIMP1
7965	ENSG00000106305	AIMP2
23746	ENSG00000129221	AIPL1
326	ENSG00000160224	AIRE
55966	ENSG00000196581	AJAP1
84962	ENSG00000129474	AJUBA
203	ENSG00000106992	AK1
204	ENSG00000004455	AK2
50808	ENSG00000147853	AK3
205	ENSG00000162433	AK4
26289	ENSG00000154027	AK5
122481	ENSG00000140057	AK7
158067	ENSG00000165695	AK8
221264	ENSG00000155085	AK9
8165	ENSG00000121057	AKAP1
11216	ENSG00000108599	AKAP10
11215	ENSG00000023516	AKAP11
9590	ENSG00000131016	AKAP12
11214	ENSG00000170776	AKAP13
158798	ENSG00000186471	AKAP14
10566	ENSG00000111254	AKAP3
9495	ENSG00000179841	AKAP5
9472	ENSG00000151320	AKAP6
9465	ENSG00000118507	AKAP7
10270	ENSG00000105127	AKAP8
26993	ENSG00000011243	AKAP8L
10142	ENSG00000127914	AKAP9
56672	ENSG00000166452	AKIP1
79647	ENSG00000174574	AKIRIN1
55122	ENSG00000135334	AKIRIN2
80709	ENSG00000106948	AKNA
254268	ENSG00000162641	AKNAD1
10327	ENSG00000117448	AKR1A1
57016	ENSG00000198074	AKR1B10
231	ENSG00000085662	AKR1B1
83592	ENSG00000165568	AKR1E2
8574	ENSG00000053371	AKR7A2
207	ENSG00000142208	AKT1
84335	ENSG00000204673	AKT1S1
208	ENSG00000105221	AKT2
10000	ENSG00000117020	AKT3
64400	ENSG00000166971	AKTIP
210	ENSG00000148218	ALAD
211	ENSG00000023330	ALAS1
212	ENSG00000158578	ALAS2
214	ENSG00000170017	ALCAM
126133	ENSG00000161618	ALDH16A1
5832	ENSG00000059573	ALDH18A1
216	ENSG00000165092	ALDH1A1
8854	ENSG00000128918	ALDH1A2
220	ENSG00000184254	ALDH1A3
219	ENSG00000137124	ALDH1B1
10840	ENSG00000144908	ALDH1L1
160428	ENSG00000136010	ALDH1L2
217	ENSG00000111275	ALDH2
224	ENSG00000072210	ALDH3A2
221	ENSG00000006534	ALDH3B1
222	ENSG00000132746	ALDH3B2
7915	ENSG00000112294	ALDH5A1
4329	ENSG00000119711	ALDH6A1
501	ENSG00000164904	ALDH7A1
64577	ENSG00000118514	ALDH8A1
223	ENSG00000143149	ALDH9A1
226	ENSG00000149925	ALDOA
229	ENSG00000136872	ALDOB
230	ENSG00000109107	ALDOC
56052	ENSG00000033011	ALG1
84920	ENSG00000139133	ALG10
440138	ENSG00000253710	ALG11
79087	ENSG00000182858	ALG12
199857	ENSG00000172339	ALG14
85365	ENSG00000119523	ALG2
10195	ENSG00000214160	ALG3
29880	ENSG00000120697	ALG5
29929	ENSG00000088035	ALG6
79053	ENSG00000159063	ALG8
79796	ENSG00000086848	ALG9
238	ENSG00000171094	ALK
8846	ENSG00000100601	ALKBH1
121642	ENSG00000189046	ALKBH2
54784	ENSG00000160993	ALKBH4
54890	ENSG00000091542	ALKBH5
84964	ENSG00000239382	ALKBH6
84266	ENSG00000125652	ALKBH7
91801	ENSG00000137760	ALKBH8
55821	ENSG00000151360	ALLC
7840	ENSG00000116127	ALMS1
239	ENSG00000108839	ALOX12
242	ENSG00000179477	ALOX12B
246	ENSG00000161905	ALOX15
240	ENSG00000012779	ALOX5
241	ENSG00000132965	ALOX5AP
247	ENSG00000179593	ALOX15B
59344	ENSG00000179148	ALOXE3
80216	ENSG00000073331	ALPK1
115701	ENSG00000198796	ALPK2
57538	ENSG00000136383	ALPK3
249	ENSG00000162551	ALPL
259173	ENSG00000178038	ALS2CL
151254	ENSG00000155754	ALS2CR11
130540	ENSG00000155749	ALS2CR12
8092	ENSG00000180318	ALX1
257	ENSG00000156150	ALX3
60529	ENSG00000052850	ALX4
10189	ENSG00000183684	ALYREF
23600	ENSG00000242110	AMACR
55626	ENSG00000110497	AMBRA1
144193	ENSG00000139344	AMDHD1
51005	ENSG00000162066	AMDHD2
139285	ENSG00000184675	AMER1
219287	ENSG00000165566	AMER2
205147	ENSG00000178171	AMER3
267	ENSG00000159461	AMFR
268	ENSG00000104899	AMH
269	ENSG00000135409	AMHR2
57463	ENSG00000181754	AMIGO1
347902	ENSG00000139211	AMIGO2
386724	ENSG00000176020	AMIGO3
9949	ENSG00000101935	AMMECR1
83607	ENSG00000144233	AMMECR1L
81693	ENSG00000166126	AMN
196394	ENSG00000151743	AMN1
154796	ENSG00000126016	AMOT
154810	ENSG00000166025	AMOTL1
51421	ENSG00000114019	AMOTL2
270	ENSG00000116748	AMPD1
271	ENSG00000116337	AMPD2
272	ENSG00000133805	AMPD3
273	ENSG00000078053	AMPH
275	ENSG00000145020	AMT
155185	ENSG00000174945	AMZ1
51321	ENSG00000196704	AMZ2
64682	ENSG00000153107	ANAPC1
10393	ENSG00000164162	ANAPC10
51529	ENSG00000141552	ANAPC11
25847	ENSG00000129055	ANAPC13
25906	ENSG00000110200	ANAPC15
119504	ENSG00000166295	ANAPC16
29882	ENSG00000176248	ANAPC2
29945	ENSG00000053900	ANAPC4
51433	ENSG00000089053	ANAPC5
51434	ENSG00000196510	ANAPC7
23357	ENSG00000013523	ANGEL1
90806	ENSG00000174606	ANGEL2
284	ENSG00000154188	ANGPT1
285	ENSG00000091879	ANGPT2
51378	ENSG00000101280	ANGPT4
9068	ENSG00000116194	ANGPTL1
23452	ENSG00000136859	ANGPTL2
